 	0.01278   0.325  0.0002   0.008 
	0.0288	  1.388  0.0004   0.008
	0.0374	  2.258  0.0005   0.008
 	0.0468 	  3.382  0.0006   0.008
 	0.0540 	  4.414  0.0007   0.008
	0.0600 	  5.365  0.0007   0.008
	0.0655 	  6.306  0.0008   0.010
	0.0738 	  7.886  0.0009   0.010
	0.0840 	 10.068  0.0010   0.012
